vid_path,id_label,label,category
clips\98\2.MOV,98,MILK,DRINK
clips\20\3.MOV,20,ONE,NUMBER
clips\104\15.MOV,104,NO SUGAR,DRINK
clips\47\9.MOV,47,SATURDAY,DAYS
clips\73\5.MOV,73,GREEN,COLOR
clips\75\4.MOV,75,BROWN,COLOR
clips\15\8.MOV,15,YES,SURVIVAL
clips\88\8.MOV,88,MEAT,FOOD
clips\37\15.MOV,37,AUGUST,CALENDAR
clips\98\11.MOV,98,MILK,DRINK
clips\89\8.MOV,89,CHICKEN,FOOD
clips\62\7.MOV,62,BOY,RELATIONSHIPS
clips\24\3.MOV,24,FIVE,NUMBER
clips\101\17.MOV,101,BEER,DRINK
clips\71\18.MOV,71,MARRIED,RELATIONSHIPS
clips\68\6.MOV,68,WEELCHAIR PERSON,RELATIONSHIPS
clips\83\15.MOV,83,LIGHT,COLOR
clips\89\17.MOV,89,CHICKEN,FOOD
clips\30\10.MOV,30,JANUARY,CALENDAR
clips\38\5.MOV,38,SEPTEMBER,CALENDAR
clips\65\3.MOV,65,WOMAN,RELATIONSHIPS
clips\88\18.MOV,88,MEAT,FOOD
clips\70\15.MOV,70,DEAF BLIND,RELATIONSHIPS
clips\55\3.MOV,55,DAUGHTER,FAMILY
clips\38\8.MOV,38,SEPTEMBER,CALENDAR
clips\81\17.MOV,81,PINK,COLOR
clips\37\16.MOV,37,AUGUST,CALENDAR
clips\24\2.MOV,24,FIVE,NUMBER
clips\73\12.MOV,73,GREEN,COLOR
clips\16\18.MOV,16,WRONG,SURVIVAL
clips\11\0.MOV,11,DON’T UNDERSTAND,SURVIVAL
clips\57\15.MOV,57,GRANDMOTHER,FAMILY
clips\69\12.MOV,69,BLIND,RELATIONSHIPS
clips\21\0.MOV,21,TWO,NUMBER
clips\21\6.MOV,21,TWO,NUMBER
clips\11\19.MOV,11,DON’T UNDERSTAND,SURVIVAL
clips\1\3.MOV,1,GOOD AFTERNOON,GREETING
clips\64\0.MOV,64,MAN,RELATIONSHIPS
clips\32\5.MOV,32,MARCH,CALENDAR
clips\14\19.MOV,14,NO,SURVIVAL
clips\45\8.MOV,45,THURSDAY,DAYS
clips\10\11.MOV,10,UNDERSTAND,SURVIVAL
clips\59\16.MOV,59,AUNTIE,FAMILY
clips\15\14.MOV,15,YES,SURVIVAL
clips\103\1.MOV,103,SUGAR,DRINK
clips\1\11.MOV,1,GOOD AFTERNOON,GREETING
clips\28\3.MOV,28,NINE ,NUMBER
clips\61\15.MOV,61,PARENTS,FAMILY
clips\66\4.MOV,66,DEAF,RELATIONSHIPS
clips\12\13.MOV,12,KNOW,SURVIVAL
clips\86\9.MOV,86,EGG,FOOD
clips\102\12.MOV,102,WINE,DRINK
clips\80\6.MOV,80,GRAY,COLOR
clips\38\3.MOV,38,SEPTEMBER,CALENDAR
clips\19\15.MOV,19,FAST,SURVIVAL
clips\98\7.MOV,98,MILK,DRINK
clips\82\11.MOV,82,VIOLET,COLOR
clips\46\6.MOV,46,FRIDAY,DAYS
clips\3\9.MOV,3,HELLO,GREETING
clips\98\14.MOV,98,MILK,DRINK
clips\4\14.MOV,4,HOW ARE YOU,GREETING
clips\42\16.MOV,42,MONDAY,DAYS
clips\61\6.MOV,61,PARENTS,FAMILY
clips\104\7.MOV,104,NO SUGAR,DRINK
clips\83\8.MOV,83,LIGHT,COLOR
clips\15\1.MOV,15,YES,SURVIVAL
clips\85\6.MOV,85,BREAD,FOOD
clips\49\4.MOV,49,TODAY,DAYS
clips\79\4.MOV,79,ORANGE,COLOR
clips\98\17.MOV,98,MILK,DRINK
clips\52\15.MOV,52,FATHER,FAMILY
clips\90\0.MOV,90,SPAGHETTI,FOOD
clips\48\12.MOV,48,SUNDAY,DAYS
clips\57\13.MOV,57,GRANDMOTHER,FAMILY
clips\59\7.MOV,59,AUNTIE,FAMILY
clips\23\11.MOV,23,FOUR,NUMBER
clips\61\18.MOV,61,PARENTS,FAMILY
clips\62\18.MOV,62,BOY,RELATIONSHIPS
clips\76\5.MOV,76,BLACK,COLOR
clips\74\0.MOV,74,RED,COLOR
clips\60\10.MOV,60,COUSIN,FAMILY
clips\48\1.MOV,48,SUNDAY,DAYS
clips\66\9.MOV,66,DEAF,RELATIONSHIPS
clips\11\8.MOV,11,DON’T UNDERSTAND,SURVIVAL
clips\8\18.MOV,8,YOURE WELCOME,GREETING
clips\69\6.MOV,69,BLIND,RELATIONSHIPS
clips\16\14.MOV,16,WRONG,SURVIVAL
clips\66\19.MOV,66,DEAF,RELATIONSHIPS
clips\66\13.MOV,66,DEAF,RELATIONSHIPS
clips\62\17.MOV,62,BOY,RELATIONSHIPS
clips\30\11.MOV,30,JANUARY,CALENDAR
clips\16\13.MOV,16,WRONG,SURVIVAL
clips\98\16.MOV,98,MILK,DRINK
clips\28\0.MOV,28,NINE ,NUMBER
clips\60\20.MOV,60,COUSIN,FAMILY
clips\51\9.MOV,51,YESTERDAY,DAYS
clips\70\2.MOV,70,DEAF BLIND,RELATIONSHIPS
clips\38\17.MOV,38,SEPTEMBER,CALENDAR
clips\27\12.MOV,27,EIGHT,NUMBER
clips\22\2.MOV,22,THREE,NUMBER
clips\15\11.MOV,15,YES,SURVIVAL
clips\83\2.MOV,83,LIGHT,COLOR
clips\62\13.MOV,62,BOY,RELATIONSHIPS
clips\42\10.MOV,42,MONDAY,DAYS
clips\79\9.MOV,79,ORANGE,COLOR
clips\40\8.MOV,40,NOVEMBER,CALENDAR
clips\33\15.MOV,33,APRIL,CALENDAR
clips\77\18.MOV,77,WHITE,COLOR
clips\12\9.MOV,12,KNOW,SURVIVAL
clips\42\5.MOV,42,MONDAY,DAYS
clips\90\5.MOV,90,SPAGHETTI,FOOD
clips\76\6.MOV,76,BLACK,COLOR
clips\97\18.MOV,97,JUICE,DRINK
clips\15\5.MOV,15,YES,SURVIVAL
clips\19\20.MOV,19,FAST,SURVIVAL
clips\34\20.MOV,34,MAY,CALENDAR
clips\93\19.MOV,93,SHRIMP,FOOD
clips\51\4.MOV,51,YESTERDAY,DAYS
clips\75\17.MOV,75,BROWN,COLOR
clips\11\18.MOV,11,DON’T UNDERSTAND,SURVIVAL
clips\83\7.MOV,83,LIGHT,COLOR
clips\83\19.MOV,83,LIGHT,COLOR
clips\103\19.MOV,103,SUGAR,DRINK
clips\21\4.MOV,21,TWO,NUMBER
clips\27\3.MOV,27,EIGHT,NUMBER
clips\39\9.MOV,39,OCTOBER,CALENDAR
clips\88\16.MOV,88,MEAT,FOOD
clips\81\1.MOV,81,PINK,COLOR
clips\27\2.MOV,27,EIGHT,NUMBER
clips\31\4.MOV,31,FEBRUARY,CALENDAR
clips\34\17.MOV,34,MAY,CALENDAR
clips\100\19.MOV,100,TEA,DRINK
clips\37\14.MOV,37,AUGUST,CALENDAR
clips\103\7.MOV,103,SUGAR,DRINK
clips\87\3.MOV,87,FISH,FOOD
clips\67\3.MOV,67,HARD OF HEARING,RELATIONSHIPS
clips\13\2.MOV,13,DON’T KNOW,SURVIVAL
clips\32\1.MOV,32,MARCH,CALENDAR
clips\70\7.MOV,70,DEAF BLIND,RELATIONSHIPS
clips\43\2.MOV,43,TUESDAY,DAYS
clips\66\17.MOV,66,DEAF,RELATIONSHIPS
clips\83\6.MOV,83,LIGHT,COLOR
clips\43\11.MOV,43,TUESDAY,DAYS
clips\30\18.MOV,30,JANUARY,CALENDAR
clips\26\14.MOV,26,SEVEN,NUMBER
clips\101\0.MOV,101,BEER,DRINK
clips\30\12.MOV,30,JANUARY,CALENDAR
clips\57\5.MOV,57,GRANDMOTHER,FAMILY
clips\89\13.MOV,89,CHICKEN,FOOD
clips\22\19.MOV,22,THREE,NUMBER
clips\44\17.MOV,44,WEDNESDAY,DAYS
clips\103\12.MOV,103,SUGAR,DRINK
clips\36\12.MOV,36,JULY,CALENDAR
clips\81\12.MOV,81,PINK,COLOR
clips\21\11.MOV,21,TWO,NUMBER
clips\35\19.MOV,35,JUNE,CALENDAR
clips\102\10.MOV,102,WINE,DRINK
clips\104\2.MOV,104,NO SUGAR,DRINK
clips\4\6.MOV,4,HOW ARE YOU,GREETING
clips\76\0.MOV,76,BLACK,COLOR
clips\13\5.MOV,13,DON’T KNOW,SURVIVAL
clips\83\5.MOV,83,LIGHT,COLOR
clips\95\13.MOV,95,HOT,DRINK
clips\19\19.MOV,19,FAST,SURVIVAL
clips\45\4.MOV,45,THURSDAY,DAYS
clips\5\17.MOV,5,IM FINE,GREETING
clips\17\16.MOV,17,CORRECT,SURVIVAL
clips\10\8.MOV,10,UNDERSTAND,SURVIVAL
clips\94\2.MOV,94,CRAB,FOOD
clips\32\14.MOV,32,MARCH,CALENDAR
clips\47\4.MOV,47,SATURDAY,DAYS
clips\23\6.MOV,23,FOUR,NUMBER
clips\68\16.MOV,68,WEELCHAIR PERSON,RELATIONSHIPS
clips\4\12.MOV,4,HOW ARE YOU,GREETING
clips\53\16.MOV,53,MOTHER,FAMILY
clips\18\20.MOV,18,SLOW,SURVIVAL
clips\19\17.MOV,19,FAST,SURVIVAL
clips\53\6.MOV,53,MOTHER,FAMILY
clips\26\4.MOV,26,SEVEN,NUMBER
clips\27\10.MOV,27,EIGHT,NUMBER
clips\48\2.MOV,48,SUNDAY,DAYS
clips\70\6.MOV,70,DEAF BLIND,RELATIONSHIPS
clips\9\3.MOV,9,SEE YOU TOMORROW,GREETING
clips\98\6.MOV,98,MILK,DRINK
clips\67\4.MOV,67,HARD OF HEARING,RELATIONSHIPS
clips\5\13.MOV,5,IM FINE,GREETING
clips\4\10.MOV,4,HOW ARE YOU,GREETING
clips\8\4.MOV,8,YOURE WELCOME,GREETING
clips\34\13.MOV,34,MAY,CALENDAR
clips\41\19.MOV,41,DECEMBER,CALENDAR
clips\81\9.MOV,81,PINK,COLOR
clips\88\17.MOV,88,MEAT,FOOD
clips\62\4.MOV,62,BOY,RELATIONSHIPS
clips\63\19.MOV,63,GIRL,RELATIONSHIPS
clips\39\0.MOV,39,OCTOBER,CALENDAR
clips\14\18.MOV,14,NO,SURVIVAL
clips\49\12.MOV,49,TODAY,DAYS
clips\93\14.MOV,93,SHRIMP,FOOD
clips\3\18.MOV,3,HELLO,GREETING
clips\57\0.MOV,57,GRANDMOTHER,FAMILY
clips\34\4.MOV,34,MAY,CALENDAR
clips\6\16.MOV,6,NICE TO MEET YOU,GREETING
clips\36\15.MOV,36,JULY,CALENDAR
clips\57\17.MOV,57,GRANDMOTHER,FAMILY
clips\20\4.MOV,20,ONE,NUMBER
clips\78\4.MOV,78,YELLOW,COLOR
clips\31\12.MOV,31,FEBRUARY,CALENDAR
clips\41\0.MOV,41,DECEMBER,CALENDAR
clips\80\12.MOV,80,GRAY,COLOR
clips\54\19.MOV,54,SON,FAMILY
clips\46\17.MOV,46,FRIDAY,DAYS
clips\52\8.MOV,52,FATHER,FAMILY
clips\57\1.MOV,57,GRANDMOTHER,FAMILY
clips\9\10.MOV,9,SEE YOU TOMORROW,GREETING
clips\104\10.MOV,104,NO SUGAR,DRINK
clips\47\12.MOV,47,SATURDAY,DAYS
clips\51\1.MOV,51,YESTERDAY,DAYS
clips\29\16.MOV,29,TEN,NUMBER
clips\88\1.MOV,88,MEAT,FOOD
clips\52\0.MOV,52,FATHER,FAMILY
clips\93\15.MOV,93,SHRIMP,FOOD
clips\26\6.MOV,26,SEVEN,NUMBER
clips\3\5.MOV,3,HELLO,GREETING
clips\30\0.MOV,30,JANUARY,CALENDAR
clips\104\6.MOV,104,NO SUGAR,DRINK
clips\11\11.MOV,11,DON’T UNDERSTAND,SURVIVAL
clips\95\16.MOV,95,HOT,DRINK
clips\75\1.MOV,75,BROWN,COLOR
clips\78\16.MOV,78,YELLOW,COLOR
clips\49\14.MOV,49,TODAY,DAYS
clips\88\4.MOV,88,MEAT,FOOD
clips\18\12.MOV,18,SLOW,SURVIVAL
clips\13\16.MOV,13,DON’T KNOW,SURVIVAL
clips\33\13.MOV,33,APRIL,CALENDAR
clips\1\4.MOV,1,GOOD AFTERNOON,GREETING
clips\93\11.MOV,93,SHRIMP,FOOD
clips\19\3.MOV,19,FAST,SURVIVAL
clips\57\6.MOV,57,GRANDMOTHER,FAMILY
clips\95\11.MOV,95,HOT,DRINK
clips\96\3.MOV,96,COLD,DRINK
clips\32\2.MOV,32,MARCH,CALENDAR
clips\3\0.MOV,3,HELLO,GREETING
clips\24\4.MOV,24,FIVE,NUMBER
clips\12\19.MOV,12,KNOW,SURVIVAL
clips\56\3.MOV,56,GRANDFATHER,FAMILY
clips\77\1.MOV,77,WHITE,COLOR
clips\89\0.MOV,89,CHICKEN,FOOD
clips\100\15.MOV,100,TEA,DRINK
clips\61\19.MOV,61,PARENTS,FAMILY
clips\101\13.MOV,101,BEER,DRINK
clips\23\10.MOV,23,FOUR,NUMBER
clips\6\12.MOV,6,NICE TO MEET YOU,GREETING
clips\45\16.MOV,45,THURSDAY,DAYS
clips\50\10.MOV,50,TOMORROW,DAYS
clips\58\18.MOV,58,UNCLE,FAMILY
clips\55\8.MOV,55,DAUGHTER,FAMILY
clips\32\0.MOV,32,MARCH,CALENDAR
clips\7\2.MOV,7,THANK YOU,GREETING
clips\68\9.MOV,68,WEELCHAIR PERSON,RELATIONSHIPS
clips\83\12.MOV,83,LIGHT,COLOR
clips\31\6.MOV,31,FEBRUARY,CALENDAR
clips\95\7.MOV,95,HOT,DRINK
clips\98\12.MOV,98,MILK,DRINK
clips\56\10.MOV,56,GRANDFATHER,FAMILY
clips\56\5.MOV,56,GRANDFATHER,FAMILY
clips\44\19.MOV,44,WEDNESDAY,DAYS
clips\60\13.MOV,60,COUSIN,FAMILY
clips\2\4.MOV,2,GOOD EVENING,GREETING
clips\13\4.MOV,13,DON’T KNOW,SURVIVAL
clips\66\7.MOV,66,DEAF,RELATIONSHIPS
clips\33\16.MOV,33,APRIL,CALENDAR
clips\31\10.MOV,31,FEBRUARY,CALENDAR
clips\84\13.MOV,84,DARK,COLOR
clips\54\18.MOV,54,SON,FAMILY
clips\43\15.MOV,43,TUESDAY,DAYS
clips\52\19.MOV,52,FATHER,FAMILY
clips\60\1.MOV,60,COUSIN,FAMILY
clips\24\1.MOV,24,FIVE,NUMBER
clips\99\13.MOV,99,COFFEE,DRINK
clips\69\14.MOV,69,BLIND,RELATIONSHIPS
clips\92\18.MOV,92,LONGANISA,FOOD
clips\0\10.MOV,0,GOOD MORNING,GREETING
clips\39\3.MOV,39,OCTOBER,CALENDAR
clips\46\4.MOV,46,FRIDAY,DAYS
clips\56\14.MOV,56,GRANDFATHER,FAMILY
clips\50\14.MOV,50,TOMORROW,DAYS
clips\59\0.MOV,59,AUNTIE,FAMILY
clips\26\17.MOV,26,SEVEN,NUMBER
clips\39\10.MOV,39,OCTOBER,CALENDAR
clips\17\3.MOV,17,CORRECT,SURVIVAL
clips\1\14.MOV,1,GOOD AFTERNOON,GREETING
clips\69\7.MOV,69,BLIND,RELATIONSHIPS
clips\69\13.MOV,69,BLIND,RELATIONSHIPS
clips\35\14.MOV,35,JUNE,CALENDAR
clips\59\6.MOV,59,AUNTIE,FAMILY
clips\8\16.MOV,8,YOURE WELCOME,GREETING
clips\39\5.MOV,39,OCTOBER,CALENDAR
clips\94\16.MOV,94,CRAB,FOOD
clips\78\2.MOV,78,YELLOW,COLOR
clips\20\1.MOV,20,ONE,NUMBER
clips\3\16.MOV,3,HELLO,GREETING
clips\43\7.MOV,43,TUESDAY,DAYS
clips\22\3.MOV,22,THREE,NUMBER
clips\77\16.MOV,77,WHITE,COLOR
clips\59\8.MOV,59,AUNTIE,FAMILY
clips\70\1.MOV,70,DEAF BLIND,RELATIONSHIPS
clips\102\11.MOV,102,WINE,DRINK
clips\51\12.MOV,51,YESTERDAY,DAYS
clips\55\15.MOV,55,DAUGHTER,FAMILY
clips\23\7.MOV,23,FOUR,NUMBER
clips\26\12.MOV,26,SEVEN,NUMBER
clips\21\12.MOV,21,TWO,NUMBER
clips\42\3.MOV,42,MONDAY,DAYS
clips\49\10.MOV,49,TODAY,DAYS
clips\34\2.MOV,34,MAY,CALENDAR
clips\21\13.MOV,21,TWO,NUMBER
clips\67\8.MOV,67,HARD OF HEARING,RELATIONSHIPS
clips\73\13.MOV,73,GREEN,COLOR
clips\41\10.MOV,41,DECEMBER,CALENDAR
clips\26\0.MOV,26,SEVEN,NUMBER
clips\35\10.MOV,35,JUNE,CALENDAR
clips\72\18.MOV,72,BLUE,COLOR
clips\43\6.MOV,43,TUESDAY,DAYS
clips\55\14.MOV,55,DAUGHTER,FAMILY
clips\33\5.MOV,33,APRIL,CALENDAR
clips\18\0.MOV,18,SLOW,SURVIVAL
clips\7\7.MOV,7,THANK YOU,GREETING
clips\82\18.MOV,82,VIOLET,COLOR
clips\85\11.MOV,85,BREAD,FOOD
clips\46\2.MOV,46,FRIDAY,DAYS
clips\76\1.MOV,76,BLACK,COLOR
clips\25\0.MOV,25,SIX,NUMBER
clips\32\11.MOV,32,MARCH,CALENDAR
clips\75\0.MOV,75,BROWN,COLOR
clips\76\3.MOV,76,BLACK,COLOR
clips\1\1.MOV,1,GOOD AFTERNOON,GREETING
clips\96\10.MOV,96,COLD,DRINK
clips\75\12.MOV,75,BROWN,COLOR
clips\36\8.MOV,36,JULY,CALENDAR
clips\72\7.MOV,72,BLUE,COLOR
clips\9\14.MOV,9,SEE YOU TOMORROW,GREETING
clips\47\11.MOV,47,SATURDAY,DAYS
clips\10\4.MOV,10,UNDERSTAND,SURVIVAL
clips\45\15.MOV,45,THURSDAY,DAYS
clips\102\16.MOV,102,WINE,DRINK
clips\66\3.MOV,66,DEAF,RELATIONSHIPS
clips\36\11.MOV,36,JULY,CALENDAR
clips\35\5.MOV,35,JUNE,CALENDAR
clips\102\5.MOV,102,WINE,DRINK
clips\4\0.MOV,4,HOW ARE YOU,GREETING
clips\32\9.MOV,32,MARCH,CALENDAR
clips\56\2.MOV,56,GRANDFATHER,FAMILY
clips\64\18.MOV,64,MAN,RELATIONSHIPS
clips\20\2.MOV,20,ONE,NUMBER
clips\80\0.MOV,80,GRAY,COLOR
clips\26\16.MOV,26,SEVEN,NUMBER
clips\24\7.MOV,24,FIVE,NUMBER
clips\35\6.MOV,35,JUNE,CALENDAR
clips\92\8.MOV,92,LONGANISA,FOOD
clips\7\10.MOV,7,THANK YOU,GREETING
clips\33\12.MOV,33,APRIL,CALENDAR
clips\58\19.MOV,58,UNCLE,FAMILY
clips\0\13.MOV,0,GOOD MORNING,GREETING
clips\41\5.MOV,41,DECEMBER,CALENDAR
clips\23\1.MOV,23,FOUR,NUMBER
clips\99\3.MOV,99,COFFEE,DRINK
clips\101\3.MOV,101,BEER,DRINK
clips\48\17.MOV,48,SUNDAY,DAYS
clips\49\5.MOV,49,TODAY,DAYS
clips\85\9.MOV,85,BREAD,FOOD
clips\1\18.MOV,1,GOOD AFTERNOON,GREETING
clips\40\2.MOV,40,NOVEMBER,CALENDAR
clips\82\0.MOV,82,VIOLET,COLOR
clips\8\3.MOV,8,YOURE WELCOME,GREETING
clips\42\6.MOV,42,MONDAY,DAYS
clips\6\3.MOV,6,NICE TO MEET YOU,GREETING
clips\83\0.MOV,83,LIGHT,COLOR
clips\66\2.MOV,66,DEAF,RELATIONSHIPS
clips\8\11.MOV,8,YOURE WELCOME,GREETING
clips\91\4.MOV,91,RICE,FOOD
clips\54\9.MOV,54,SON,FAMILY
clips\25\5.MOV,25,SIX,NUMBER
clips\34\12.MOV,34,MAY,CALENDAR
clips\39\13.MOV,39,OCTOBER,CALENDAR
clips\36\7.MOV,36,JULY,CALENDAR
clips\92\9.MOV,92,LONGANISA,FOOD
clips\10\10.MOV,10,UNDERSTAND,SURVIVAL
clips\84\4.MOV,84,DARK,COLOR
clips\37\9.MOV,37,AUGUST,CALENDAR
clips\43\8.MOV,43,TUESDAY,DAYS
clips\7\19.MOV,7,THANK YOU,GREETING
clips\79\7.MOV,79,ORANGE,COLOR
clips\79\16.MOV,79,ORANGE,COLOR
clips\21\19.MOV,21,TWO,NUMBER
clips\75\14.MOV,75,BROWN,COLOR
clips\52\14.MOV,52,FATHER,FAMILY
clips\11\16.MOV,11,DON’T UNDERSTAND,SURVIVAL
clips\74\17.MOV,74,RED,COLOR
clips\69\0.MOV,69,BLIND,RELATIONSHIPS
clips\24\11.MOV,24,FIVE,NUMBER
clips\90\3.MOV,90,SPAGHETTI,FOOD
clips\27\7.MOV,27,EIGHT,NUMBER
clips\45\7.MOV,45,THURSDAY,DAYS
clips\19\14.MOV,19,FAST,SURVIVAL
